Depth,Height,Column,Block
0,0,0,wotr:processor_block_7
1,0,0,minecraft:bricks
2,0,0,minecraft:cracked_stone_bricks
0,0,1,minecraft:quartz_pillar
1,0,1,minecraft:chiseled_stone_bricks
0,0,2,wotr:processor_block_7_slab
1,0,2,minecraft:brick_slab
0,0,3,wotr:processor_block_7_stairs
1,0,3,minecraft:brick_stairs
0,0,4,wotr:processor_block_7_wall
1,0,4,minecraft:brick_wall
2,0,4,minecraft:stone_brick_wall
0,0,5,wotr:processor_block_7_button
1,0,5,minecraft:stone_button
0,0,6,wotr:processor_block_7_pressure_plate
1,0,6,minecraft:stone_pressure_plate
0,0,7,wotr:processor_block_7_fence
1,0,7,minecraft:pale_oak_fence
0,0,8,wotr:processor_block_7_fence_gate
1,0,8,minecraft:pale_oak_fence_gate
0,0,9,minecraft:iron_bars
1,0,9,minecraft:iron_bars
0,0,10,minecraft:oak_door
1,0,10,minecraft:waxed_weathered_copper_door
0,0,11,wotr:processor_block_7_trapdoor
1,0,11,minecraft:waxed_weathered_copper_trapdoor
0,1,10,minecraft:oak_door
1,1,10,minecraft:waxed_weathered_copper_door
